algorithm,topology,n_agents,trial,lqs,leader_fitness,rounds_to_converge,messages_sent,election_time_ms
Fitness,mesh,10,0,1.0,0.871648962676321,7,130,10.218119000000137
Bully,mesh,10,0,0.8400003274770711,0.732185414093159,10,55,3.616292000000243
Random,mesh,10,0,0.8400003274770711,0.732185414093159,1,10,3.21563000000058
HighBattery,mesh,10,0,0.8400003274770711,0.732185414093159,2,10,3.917899000000169
MostConnected,mesh,10,0,1.0,0.871648962676321,2,26,4.7208870000003955
Raft,mesh,10,0,0.9469086112256001,0.8253719087240701,6,22,5.056939999999344
Fitness,mesh,10,1,1.0,0.8898108407000768,7,130,10.014791000000578
Bully,mesh,10,1,0.766761423659423,0.6822726270027789,10,55,3.7528609999997187
Random,mesh,10,1,0.7473202645315,0.6649736728549778,1,10,4.248826000000427
HighBattery,mesh,10,1,0.7754182110750666,0.6899755302908546,2,10,5.699445999999497
MostConnected,mesh,10,1,1.0,0.8898108407000768,2,26,5.477017999999667
Raft,mesh,10,1,0.7473202645315,0.6649736728549778,6,21,3.186214000000298
Fitness,mesh,10,2,1.0,0.8681159997739799,7,130,7.042484000000293
Bully,mesh,10,2,0.7525120769153176,0.653267773993335,10,55,2.8001589999995247
Random,mesh,10,2,1.0,0.8681159997739799,1,10,2.382254000000472
HighBattery,mesh,10,2,0.9312969968000406,0.8084738234635722,2,10,3.7730030000000525
MostConnected,mesh,10,2,1.0,0.8681159997739799,2,26,4.174414999999598
Raft,mesh,10,2,0.9312969968000406,0.8084738234635722,6,22,4.658381000000489
Fitness,mesh,10,3,1.0,0.8903469471508407,7,130,6.634180999999906
Bully,mesh,10,3,0.7952910366768957,0.7080849466017014,10,55,3.550330000000379
Random,mesh,10,3,0.8046995774927317,0.716461812194225,1,10,3.053407000000341
HighBattery,mesh,10,3,1.0,0.8903469471508407,2,10,2.709602999999561
MostConnected,mesh,10,3,1.0,0.8903469471508407,2,26,5.042490000000122
Raft,mesh,10,3,0.839604202442672,0.7475390384598495,6,22,3.885995999999281
Fitness,mesh,10,4,1.0,0.8047509533501558,7,130,6.198096000000319
Bully,mesh,10,4,0.8547128576839869,0.6878309870618244,10,55,2.547090000000196
Random,mesh,10,4,0.871269752478522,0.7011551639322449,1,10,4.109697999999717
HighBattery,mesh,10,4,0.8541390082997713,0.6873691812227976,2,10,4.626029999999837
MostConnected,mesh,10,4,1.0,0.8047509533501558,2,26,4.604979000000675
Raft,mesh,10,4,0.871269752478522,0.0,6,21,5.282521999999901
Fitness,mesh,10,5,1.0,0.8055879939201942,7,130,10.067004000000601
Bully,mesh,10,5,0.8901832289095302,0.7171209215986294,10,55,2.4479109999999693
Random,mesh,10,5,0.8175032544379948,0.6585708067659343,1,10,2.5755289999995767
HighBattery,mesh,10,5,0.8175032544379948,0.6585708067659343,2,10,2.6379890000001183
MostConnected,mesh,10,5,0.9310062561446368,0.7500074622147085,2,26,2.614177999999967
Raft,mesh,10,5,0.9538556088536756,0.7684146264259579,6,22,2.591962999999531
Fitness,mesh,10,6,1.0,0.8185757554350761,7,130,5.61287200000038
Bully,mesh,10,6,0.8153970245075364,0.6674642353157698,10,55,2.5116070000006374
Random,mesh,10,6,0.9790111978470725,0.8013948308570661,1,10,2.422753999999472
HighBattery,mesh,10,6,0.9790111978470725,0.8013948308570661,2,10,2.9131619999995806
MostConnected,mesh,10,6,1.0,0.8185757554350761,2,26,5.211311000000052
Raft,mesh,10,6,0.8571421631920151,0.701635793750159,6,22,4.847053000000656
Fitness,mesh,10,7,1.0,0.9100400945012299,7,130,8.88070599999935
Bully,mesh,10,7,0.7535747990887367,0.6857832813764593,10,55,2.661265999999607
Random,mesh,10,7,0.8333391351745326,0.7583720253258048,1,10,2.795304000000165
HighBattery,mesh,10,7,0.7535747990887367,0.6857832813764593,2,10,3.8955359999999217
MostConnected,mesh,10,7,1.0,0.9100400945012299,2,26,5.048960999999963
Raft,mesh,10,7,0.828583637135757,0.7540443314411971,6,22,3.1768119999995292
Fitness,mesh,10,8,1.0,0.777121820314933,7,130,9.917060000000255
Bully,mesh,10,8,0.8925727544882788,0.693637763731445,10,55,2.366702999999859
Random,mesh,10,8,0.8662064209110806,0.673147910586902,1,10,2.834334000000105
HighBattery,mesh,10,8,0.9586045304656868,0.7449524976776363,2,10,2.443116000000245
MostConnected,mesh,10,8,0.9822064311193826,0.7632940496765285,2,26,3.7937369999996307
Raft,mesh,10,8,0.9936458968403249,0.7721839081010174,6,22,4.197893999999813
Fitness,mesh,10,9,1.0,0.9357398727188838,7,130,6.213816999999899
Bully,mesh,10,9,0.7224083445482209,0.6759862923786117,10,55,2.8443910000000017
Random,mesh,10,9,0.7224083445482209,0.6759862923786117,1,10,4.743788999999943
HighBattery,mesh,10,9,0.9133149449428786,0.8546252103331036,2,10,4.252052000000006
MostConnected,mesh,10,9,1.0,0.9357398727188838,2,26,2.546858999999735
Raft,mesh,10,9,0.8462722021241891,0.7918906427012182,6,22,3.8902150000001967
Fitness,mesh,10,10,1.0,0.7973111051222598,7,130,9.05989500000004
Bully,mesh,10,10,0.749189177177914,0.5973368508013591,10,55,4.649983000000191
Random,mesh,10,10,0.9151314740956629,0.7296444869433756,1,10,4.6049049999998815
HighBattery,mesh,10,10,0.9151314740956629,0.7296444869433756,2,10,3.12569299999943
MostConnected,mesh,10,10,0.905221360882306,0.7217430436253474,2,26,2.7181430000000617
Raft,mesh,10,10,0.905221360882306,0.7217430436253474,6,23,2.639586999999999
Fitness,mesh,10,11,1.0,0.8486103415938333,7,130,6.667221000000723
Bully,mesh,10,11,0.7296514555865935,0.6191897709697768,10,55,4.984591000000371
Random,mesh,10,11,0.7364759678024771,0.6249811226125092,1,10,3.837411000000124
HighBattery,mesh,10,11,0.9275462865355598,0.787125371061033,2,10,2.3936689999999317
MostConnected,mesh,10,11,1.0,0.8486103415938333,2,26,4.043216000000349
Raft,mesh,10,11,0.828683774839499,0.0,6,21,3.727571999999846
Fitness,mesh,10,12,1.0,0.8449199966563935,7,130,7.021057000000219
Bully,mesh,10,12,0.8139739589290677,0.6877428746567392,10,55,2.3553970000005364
Random,mesh,10,12,0.8139739589290677,0.6877428746567392,1,10,2.5381539999997926
HighBattery,mesh,10,12,0.848228886224745,0.716685547712868,2,10,3.866183999999606
MostConnected,mesh,10,12,1.0,0.8449199966563935,2,26,4.355140999999563
Raft,mesh,10,12,0.9409848576014956,0.7950569227383726,6,22,4.158428000000214
Fitness,mesh,10,13,1.0,0.9217804105593375,7,130,10.406897000000193
Bully,mesh,10,13,0.7305453061457352,0.6734023522312127,10,55,2.5610030000002837
Random,mesh,10,13,0.8687446987010153,0.8007918450398699,1,10,2.567688000000068
HighBattery,mesh,10,13,1.0,0.9217804105593375,2,10,2.9075979999992896
MostConnected,mesh,10,13,1.0,0.9217804105593375,2,26,4.8132989999993825
Raft,mesh,10,13,0.7810787649651888,0.719983104648792,6,22,5.349488000000235
Fitness,mesh,10,14,1.0,0.8299891639934949,7,130,11.438065999999303
Bully,mesh,10,14,0.8428618874522587,0.6995662333284793,10,55,2.7221250000000197
Random,mesh,10,14,1.0,0.8299891639934949,1,10,2.5387410000003996
HighBattery,mesh,10,14,0.8428618874522587,0.6995662333284793,2,10,4.9447460000004995
MostConnected,mesh,10,14,1.0,0.8299891639934949,2,26,2.6819179999995058
Raft,mesh,10,14,0.8674186440463693,0.0,7,21,3.0148100000007005
Fitness,mesh,10,15,1.0,0.8348734296714677,7,130,8.863836999999819
Bully,mesh,10,15,0.7740519619960605,0.6462354162555797,10,55,2.3541879999999793
Random,mesh,10,15,0.8785727661435365,0.7334970584862027,1,10,2.3440729999997245
HighBattery,mesh,10,15,0.8785727661435365,0.7334970584862027,2,10,2.4093040000003896
MostConnected,mesh,10,15,1.0,0.8348734296714677,2,26,3.3739619999995085
Raft,mesh,10,15,0.7478131916648808,0.0,6,21,2.8282289999994603
Fitness,mesh,10,16,1.0,0.816362625377091,7,130,5.706589999999956
Bully,mesh,10,16,0.8291579312269544,0.676893545588674,10,55,2.4176950000001085
Random,mesh,10,16,0.8337968663019582,0.680680598805458,1,10,2.4208939999992296
HighBattery,mesh,10,16,0.9204902495365326,0.7514538367456574,2,10,2.3677109999997725
MostConnected,mesh,10,16,1.0,0.816362625377091,2,26,2.555983999999789
Raft,mesh,10,16,0.8337968663019582,0.680680598805458,6,22,3.7190589999998025
