algorithm,topology,n_agents,trial,rounds_to_converge,messages_sent,lqs,graph_diameter,graph_density,election_time_ms
Fitness,mesh,5,0,6,40,1.0,3,0.5,2.0969969999953264
Bully,mesh,5,0,5,15,0.8271554856998878,3,0.5,0.704062000011163
Random,mesh,5,0,1,5,0.8979559191030098,3,0.5,0.9326779999980772
HighBattery,mesh,5,0,2,5,1.0,3,0.5,0.8637650000054009
MostConnected,mesh,5,0,2,10,1.0,3,0.5,1.4350099999944632
Raft,mesh,5,0,6,11,0.9458100438122451,3,0.5,1.7020899999948824
Fitness,mesh,5,1,6,40,1.0,3,0.5,3.85480200000643
Bully,mesh,5,1,5,15,0.8347417107811219,3,0.5,1.9990469999981997
Random,mesh,5,1,1,5,0.9358684809930528,3,0.5,1.700659999997356
HighBattery,mesh,5,1,2,5,0.9358684809930528,3,0.5,1.2402419999943959
MostConnected,mesh,5,1,2,10,1.0,3,0.5,0.9377800000009984
Raft,mesh,5,1,6,12,1.0,3,0.5,1.530251000005478
Fitness,mesh,5,2,6,40,1.0,3,0.5,2.874177999999006
Bully,mesh,5,2,5,15,0.8971184501303273,3,0.5,2.0611479999956828
Random,mesh,5,2,1,5,1.0,3,0.5,1.0474290000104247
HighBattery,mesh,5,2,2,5,0.7767472537481114,3,0.5,0.6396120000005112
MostConnected,mesh,5,2,2,10,1.0,3,0.5,0.8000539999954981
Raft,mesh,5,2,6,11,0.9103320313102358,3,0.5,0.7725549999975101
Fitness,mesh,5,3,6,40,1.0,3,0.5,1.6894159999907288
Bully,mesh,5,3,5,15,0.9904267617186556,3,0.5,0.904982999998083
Random,mesh,5,3,1,5,1.0,3,0.5,1.0824740000003885
HighBattery,mesh,5,3,2,5,0.8228928498343744,3,0.5,1.068349000007629
MostConnected,mesh,5,3,2,10,1.0,3,0.5,0.7561660000021675
Raft,mesh,5,3,6,11,0.9478332177509573,3,0.5,0.7265920000065762
Fitness,mesh,5,4,6,40,1.0,3,0.5,1.488897999990968
Bully,mesh,5,4,5,15,0.9333751817965716,3,0.5,0.6323369999989836
Random,mesh,5,4,1,5,0.8409437974461696,3,0.5,0.6193929999938064
HighBattery,mesh,5,4,2,5,0.9333751817965716,3,0.5,0.6115840000120443
MostConnected,mesh,5,4,2,10,1.0,3,0.5,1.03237300000103
Raft,mesh,5,4,6,11,0.8409437974461696,3,0.5,0.7252679999965039
Fitness,mesh,5,5,6,40,1.0,3,0.5,1.6024740000091242
Bully,mesh,5,5,5,15,0.8610927749502276,3,0.5,0.6824060000099053
Random,mesh,5,5,1,5,0.6563342206353587,3,0.5,0.9791709999973364
HighBattery,mesh,5,5,2,5,0.9303835699369665,3,0.5,1.307044000000701
MostConnected,mesh,5,5,2,10,1.0,3,0.5,1.6339279999897371
Raft,mesh,5,5,7,12,1.0,3,0.5,1.6564940000023398
Fitness,mesh,5,6,6,40,1.0,3,0.5,3.807065999993142
Bully,mesh,5,6,5,15,0.9683269806040665,3,0.5,1.2955779999970218
Random,mesh,5,6,1,5,1.0,3,0.5,1.0183330000046453
HighBattery,mesh,5,6,2,5,0.9683269806040665,3,0.5,0.6293379999959825
MostConnected,mesh,5,6,2,10,1.0,3,0.5,0.7297450000010031
Raft,mesh,5,6,6,11,0.9441629503219939,3,0.5,0.8194529999911992
