algorithm,topology,n_agents,failure_type,trial,initial_leader,initial_lqs,initial_rounds,killed_agents,recovery_leader,recovery_lqs,recovery_rounds,recovery_messages,recovery_notes
Fitness,random,10,leader_only,0,9,1.0,7,1,5.0,1.0,6,48,
Bully,random,10,leader_only,0,9,1.0,10,1,8.0,0.8495468052594665,9,45,
Random,random,10,leader_only,0,8,0.6366775439196793,1,1,1.0,0.6606445856087066,1,9,
HighBattery,random,10,leader_only,0,3,0.7817452195207251,2,1,6.0,0.641641059948297,2,9,
MostConnected,random,10,leader_only,0,9,1.0,2,1,5.0,1.0,2,12,
Raft,random,10,leader_only,0,7,0.6548529590512575,6,1,1.0,0.6606445856087066,6,18,term=1
Fitness,random,10,leader_only,1,1,1.0,6,1,0.0,1.0,6,96,
Bully,random,10,leader_only,1,9,0.8067322183639408,10,1,8.0,0.8533706156493822,9,45,
Random,random,10,leader_only,1,5,0.901781214070621,1,1,8.0,0.7288101430699017,1,9,
HighBattery,random,10,leader_only,1,5,0.901781214070621,2,1,1.0,0.9875370629695023,2,9,
MostConnected,random,10,leader_only,1,0,0.8476040814194968,2,1,1.0,1.0,2,24,
Raft,random,10,leader_only,1,7,0.8218233486429922,6,1,0.0,0.7844727403551619,6,20,No consensus after 20 terms
Fitness,random,10,leader_only,2,1,1.0,7,1,7.0,1.0,7,110,
Bully,random,10,leader_only,2,9,0.8354000801062483,10,1,8.0,0.752673485107029,9,45,
Random,random,10,leader_only,2,3,0.9690858419327514,1,1,6.0,0.9576222136827787,1,9,
HighBattery,random,10,leader_only,2,5,0.7367605517275883,2,1,9.0,0.832983296000208,2,9,
MostConnected,random,10,leader_only,2,6,0.9615350331421405,2,1,1.0,1.0,2,20,
Raft,random,10,leader_only,2,4,0.9356453196169364,6,1,0.0,0.5205955659353038,6,18,No consensus after 20 terms
Fitness,random,10,leader_only,3,8,1.0,7,1,5.0,1.0,8,96,
Bully,random,10,leader_only,3,9,0.8298495006857158,10,1,8.0,1.0,9,45,
Random,random,10,leader_only,3,4,0.6351879669940482,1,1,1.0,0.8974149572718532,1,9,
HighBattery,random,10,leader_only,3,9,0.8298495006857158,2,1,1.0,0.9196372371023728,2,9,
MostConnected,random,10,leader_only,3,8,1.0,2,1,0.0,0.9436438221952115,2,16,
Raft,random,10,leader_only,3,8,1.0,6,1,6.0,0.6552047481133123,6,18,term=1
Fitness,random,10,leader_only,4,0,1.0,7,1,6.0,1.0,7,70,
Bully,random,10,leader_only,4,9,0.7186463737763082,10,1,8.0,0.6922993307880296,9,45,
Random,random,10,leader_only,4,2,0.6603668022649489,1,1,7.0,0.4775954311439304,1,9,
HighBattery,random,10,leader_only,4,4,0.7827581965984249,2,1,9.0,0.7330827980107467,2,9,
MostConnected,random,10,leader_only,4,0,1.0,2,1,6.0,1.0,2,14,
Raft,random,10,leader_only,4,3,0.964672029717089,6,1,5.0,0.968834157100615,6,18,term=1
Fitness,random,10,leader_only,5,7,1.0,7,1,3.0,1.0,7,70,
Bully,random,10,leader_only,5,9,0.813226466859035,10,1,8.0,0.3733589407577574,9,45,
Random,random,10,leader_only,5,8,0.44759558349129686,1,1,2.0,0.7416954227244021,1,9,
HighBattery,random,10,leader_only,5,5,0.7962658968349915,2,1,2.0,0.7321061138650239,2,9,
MostConnected,random,10,leader_only,5,3,0.8929687906160692,2,1,7.0,1.0,2,14,
Raft,random,10,leader_only,5,0,0.7156970040226919,6,1,3.0,0.9413029680253129,6,20,term=1
Fitness,random,10,leader_only,6,3,1.0,7,1,0.0,1.0,7,90,
Bully,random,10,leader_only,6,9,0.7447801579113257,10,1,8.0,0.848021559810354,9,45,
Random,random,10,leader_only,6,8,0.8114662735904458,1,1,3.0,1.0,1,9,
HighBattery,random,10,leader_only,6,6,0.741701264436682,2,1,0.0,0.7228711397884413,2,9,
MostConnected,random,10,leader_only,6,3,1.0,2,1,0.0,1.0,2,18,
Raft,random,10,leader_only,6,2,0.694803420843538,6,1,8.0,0.8216123201224217,6,20,term=1
Fitness,random,10,leader_only,7,5,1.0,7,1,9.0,1.0,7,90,
Bully,random,10,leader_only,7,9,0.8039450359969049,10,1,8.0,0.9027975775266044,9,45,
Random,random,10,leader_only,7,3,0.8758158443082004,1,1,0.0,0.7040553619626879,1,9,
HighBattery,random,10,leader_only,7,6,0.6201449660165289,2,1,3.0,0.875791016570925,2,9,
MostConnected,random,10,leader_only,7,5,1.0,2,1,2.0,0.9827429721573878,2,18,
Raft,random,10,leader_only,7,5,1.0,6,1,6.0,0.6982608591441772,6,17,term=1
Fitness,random,10,leader_only,8,7,1.0,6,1,6.0,1.0,6,88,
Bully,random,10,leader_only,8,9,0.9449789517267244,10,1,8.0,0.9681039679228489,9,45,
Random,random,10,leader_only,8,8,0.9086909317638636,1,1,5.0,0.8536065245554602,1,9,
HighBattery,random,10,leader_only,8,9,0.9449789517267244,2,1,6.0,1.0,2,9,
