algorithm,topology,churn_rate,trial,n_initial,n_rounds,leader_changes,re_elections,avg_alive,avg_lqs,lqs_std
Fitness,random,0.05,0,20,50,1,1,15.28,1.0,0.0
Bully,random,0.05,0,20,50,0,0,15.28,0.8523379468322619,0.0
Random,random,0.05,0,20,50,1,1,15.28,0.7881960399444388,0.0
HighBattery,random,0.05,0,20,50,1,1,15.28,0.8523379468322619,0.0
MostConnected,random,0.05,0,20,50,2,2,15.28,0.9758515091331241,1.1102230246251565e-16
Raft,random,0.05,0,20,50,2,2,15.28,0.7650860655453405,0.0
Fitness,random,0.05,1,20,50,0,0,27.8,0.9022554367015304,0.0
Bully,random,0.05,1,20,50,0,0,27.8,0.7438184687874247,0.0
Random,random,0.05,1,20,50,0,0,27.8,0.7174837728640878,0.0
HighBattery,random,0.05,1,20,50,0,0,27.8,0.907555589372152,0.0
MostConnected,random,0.05,1,20,50,1,1,27.8,0.7962667664151871,1.1102230246251565e-16
Raft,random,0.05,1,20,50,0,0,27.8,0.7993647697893916,1.1102230246251565e-16
Fitness,random,0.05,2,20,50,2,2,21.96,1.0,0.0
Bully,random,0.05,2,20,50,1,1,21.96,0.6302530757221059,1.1102230246251565e-16
Random,random,0.05,2,20,50,0,0,21.96,0.6339016756751541,1.1102230246251565e-16
HighBattery,random,0.05,2,20,50,0,0,21.96,0.6156418616115245,0.0
MostConnected,random,0.05,2,20,50,2,2,21.96,1.0,0.0
Raft,random,0.05,2,20,50,0,0,21.96,0.9183007516660363,0.0
Fitness,random,0.05,3,20,50,0,0,27.48,0.9406512499873897,1.1102230246251565e-16
Bully,random,0.05,3,20,50,0,0,27.48,0.9365222731561478,1.1102230246251565e-16
Random,random,0.05,3,20,50,1,1,27.48,0.6158656777913124,0.0
HighBattery,random,0.05,3,20,50,0,0,27.48,0.9285307421721071,0.0
MostConnected,random,0.05,3,20,50,0,0,27.48,0.9406512499873897,1.1102230246251565e-16
Raft,random,0.05,3,20,50,1,1,27.48,0.9285307421721071,0.0
Fitness,random,0.05,4,20,50,0,0,18.74,1.0,0.0
Bully,random,0.05,4,20,50,0,0,18.74,0.587251259580026,1.1102230246251565e-16
Random,random,0.05,4,20,50,0,0,18.74,0.7357392471535934,0.0
HighBattery,random,0.05,4,20,50,0,0,18.74,0.8357791846400537,0.0
MostConnected,random,0.05,4,20,50,0,0,18.74,1.0,0.0
Raft,random,0.05,4,20,50,1,1,18.74,0.878891610437116,0.0
Fitness,random,0.05,5,20,50,0,0,17.8,1.0,0.0
Bully,random,0.05,5,20,50,1,1,17.8,0.898639346918882,1.1102230246251565e-16
Random,random,0.05,5,20,50,0,0,17.8,0.9332913314254151,1.1102230246251565e-16
HighBattery,random,0.05,5,20,50,0,0,17.8,0.8745920505166823,0.0
MostConnected,random,0.05,5,20,50,2,2,17.8,0.898639346918882,1.1102230246251565e-16
Raft,random,0.05,5,20,50,1,1,17.8,0.7341887673099283,1.1102230246251565e-16
Fitness,random,0.05,6,20,50,2,2,18.82,1.0,0.0
Bully,random,0.05,6,20,50,1,1,18.82,0.781250217138598,0.0
Random,random,0.05,6,20,50,1,1,18.82,0.9487780403660159,1.1102230246251565e-16
HighBattery,random,0.05,6,20,50,2,2,18.82,0.95750783898005,0.0
MostConnected,random,0.05,6,20,50,0,0,18.82,0.9628792362197791,1.1102230246251565e-16
Raft,random,0.05,6,20,50,0,0,18.82,0.7307518072416961,1.1102230246251565e-16
Fitness,random,0.05,7,20,50,1,1,21.48,1.0,0.0
Bully,random,0.05,7,20,50,0,0,21.48,0.7604574509986547,2.220446049250313e-16
Random,random,0.05,7,20,50,1,1,21.48,0.9235804134283778,1.1102230246251565e-16
HighBattery,random,0.05,7,20,50,1,1,21.48,1.0,0.0
MostConnected,random,0.05,7,20,50,1,1,21.48,1.0,0.0
Raft,random,0.05,7,20,50,2,2,21.48,0.7662857506727289,0.0
Fitness,random,0.05,8,20,50,0,0,22.3,0.9845272067007312,2.220446049250313e-16
Bully,random,0.05,8,20,50,0,0,22.3,0.8241826668496488,2.220446049250313e-16
Random,random,0.05,8,20,50,1,1,22.3,0.7340745186975159,1.1102230246251565e-16
HighBattery,random,0.05,8,20,50,0,0,22.3,0.7417629561554311,1.1102230246251565e-16
MostConnected,random,0.05,8,20,50,0,0,22.3,0.9845272067007312,2.220446049250313e-16
Raft,random,0.05,8,20,50,0,0,22.3,1.0,0.0
Fitness,random,0.05,9,20,50,0,0,19.78,0.8260966616254486,0.0
Bully,random,0.05,9,20,50,2,2,19.78,0.6594798039881437,0.0
Random,random,0.05,9,20,50,0,0,19.78,0.8260966616254486,0.0
HighBattery,random,0.05,9,20,50,1,1,19.78,1.0,0.0
MostConnected,random,0.05,9,20,50,1,1,19.78,1.0,0.0
Raft,random,0.05,9,20,50,0,0,19.78,0.8260966616254486,0.0
Fitness,geometric,0.05,0,20,50,0,0,23.5,0.8554771028156191,0.0
Bully,geometric,0.05,0,20,50,0,0,23.5,0.7505932935228605,1.1102230246251565e-16
Random,geometric,0.05,0,20,50,0,0,23.5,0.7505932935228605,1.1102230246251565e-16
HighBattery,geometric,0.05,0,20,50,0,0,23.5,0.8567317280516394,1.1102230246251565e-16
MostConnected,geometric,0.05,0,20,50,0,0,23.5,0.8554771028156191,0.0
Raft,geometric,0.05,0,20,50,1,1,23.5,0.7867102435399529,1.1102230246251565e-16
Fitness,geometric,0.05,1,20,50,0,0,19.7,0.9587588891815865,1.1102230246251565e-16
Bully,geometric,0.05,1,20,50,0,0,19.7,0.736548802564639,1.1102230246251565e-16
Random,geometric,0.05,1,20,50,1,1,19.7,0.8915767671319371,1.1102230246251565e-16
HighBattery,geometric,0.05,1,20,50,1,1,19.7,0.9587588891815865,1.1102230246251565e-16
MostConnected,geometric,0.05,1,20,50,1,1,19.7,1.0,0.0
Raft,geometric,0.05,1,20,50,0,0,19.7,0.6618302271355183,1.1102230246251565e-16
Fitness,geometric,0.05,2,20,50,1,1,22.68,0.9237150414726492,1.1102230246251565e-16
Bully,geometric,0.05,2,20,50,1,1,22.68,0.8993182295882509,2.220446049250313e-16
Random,geometric,0.05,2,20,50,0,0,22.68,0.812331950759666,2.220446049250313e-16
HighBattery,geometric,0.05,2,20,50,1,1,22.68,0.9237150414726492,1.1102230246251565e-16
MostConnected,geometric,0.05,2,20,50,0,0,22.68,1.0,0.0
Raft,geometric,0.05,2,20,50,0,0,22.68,0.8128466750574553,0.0
Fitness,geometric,0.05,3,20,50,0,0,20.2,0.9641968477225711,2.220446049250313e-16
Bully,geometric,0.05,3,20,50,0,0,20.2,0.7351811321683145,0.0
Random,geometric,0.05,3,20,50,4,4,20.2,0.567493600352215,0.0
HighBattery,geometric,0.05,3,20,50,0,0,20.2,0.9570403808157854,1.1102230246251565e-16
MostConnected,geometric,0.05,3,20,50,1,1,20.2,0.9570403808157854,1.1102230246251565e-16
Raft,geometric,0.05,3,20,50,0,0,20.2,0.817775071111832,1.1102230246251565e-16
Fitness,geometric,0.05,4,20,50,0,0,18.38,0.9258471583190704,1.1102230246251565e-16
Bully,geometric,0.05,4,20,50,2,2,18.38,0.7162281098090066,1.1102230246251565e-16
Random,geometric,0.05,4,20,50,1,1,18.38,0.9058795506659243,0.0
HighBattery,geometric,0.05,4,20,50,0,0,18.38,0.9365746719309201,0.0
MostConnected,geometric,0.05,4,20,50,1,1,18.38,0.9134003075530971,0.0
Raft,geometric,0.05,4,20,50,1,1,18.38,0.8427273871461481,0.0
Fitness,geometric,0.05,5,20,50,0,0,23.26,0.9674868513716723,1.1102230246251565e-16
Bully,geometric,0.05,5,20,50,0,0,23.26,1.0,0.0
Random,geometric,0.05,5,20,50,0,0,23.26,0.6823226398219364,1.1102230246251565e-16
HighBattery,geometric,0.05,5,20,50,0,0,23.26,0.8737745248539774,1.1102230246251565e-16
MostConnected,geometric,0.05,5,20,50,0,0,23.26,0.9674868513716723,1.1102230246251565e-16
Raft,geometric,0.05,5,20,50,0,0,23.26,0.8517436571429664,1.1102230246251565e-16
Fitness,geometric,0.05,6,20,50,1,1,18.74,1.0,0.0
Bully,geometric,0.05,6,20,50,1,1,18.74,0.8163078037194823,0.0
Random,geometric,0.05,6,20,50,1,1,18.74,0.7290222965185679,1.1102230246251565e-16
HighBattery,geometric,0.05,6,20,50,1,1,18.74,1.0,0.0
MostConnected,geometric,0.05,6,20,50,0,0,18.74,0.8273892191342584,0.0
Raft,geometric,0.05,6,20,50,0,0,18.74,0.8279588441848703,1.1102230246251565e-16
Fitness,geometric,0.05,7,20,50,2,2,23.54,0.9568793860958826,1.1102230246251565e-16
Bully,geometric,0.05,7,20,50,0,0,23.54,0.8376277823905953,2.220446049250313e-16
Random,geometric,0.05,7,20,50,0,0,23.54,0.6959432053880906,0.0
HighBattery,geometric,0.05,7,20,50,0,0,23.54,0.7853208176902339,0.0
MostConnected,geometric,0.05,7,20,50,3,3,23.54,1.0,0.0
Raft,geometric,0.05,7,20,50,0,0,23.54,0.7860790117936439,1.1102230246251565e-16
Fitness,geometric,0.05,8,20,50,1,1,26.0,0.935364086665354,2.220446049250313e-16
Bully,geometric,0.05,8,20,50,1,1,26.0,0.7059548668438711,1.1102230246251565e-16
Random,geometric,0.05,8,20,50,2,2,26.0,0.935364086665354,2.220446049250313e-16
HighBattery,geometric,0.05,8,20,50,0,0,26.0,0.7677329246433,1.1102230246251565e-16
